port_name,mean
Yantian,96.03149808080552
Kakinada,95.83739820876953
Tuticorin,97.83703761928217
Galle,99.32414017396057
Kemaman,99.13514865208815
Bangkok,89.62694890524415
Laem Chabang,96.9554536200972
Sriracha,96.37766342767313
Haimen,96.4449003258571
Qinhuangdao,96.47493591148313
Yingkou,91.62316297573459
Alleppey,97.6983542014255
Keelung,97.7045149549765
Mongla,84.73444364051393
Lianyungang,94.45128150802621
Zhanjiang,95.99770344640012
Zhoushan,97.4161116577095
Lhokseumawe,98.40499581742378
Panjang,98.74060956309002
Tanjung Priok,98.07330253747692
Mangalore,99.1694083914343
Porbandar,96.02265214669693
Bassein,93.44552610662534
Malacca,98.5762631017489
Port Dickson,98.23598087770978
Songkhla,97.80059534385603
Hai Phong,92.04813668715059
Guangzhou,93.61101955460099
Jiangyin,87.11982200128212
Sanya,97.36469363045263
Nunukan,97.22956993359855
Ratnagiri,98.35894570207644
Gwadar,97.95329956079891
Bombay,97.78632443425771
Jawaharlal Nehru Port,97.60589877455324
Cochin,97.29945107839052
Madras,95.26761822231857
Calcutta,79.79882436026257
Phuket,99.30482971807238
Pulau Pinang,98.25173332505014
Belawan,98.5541328944229
Semarang,98.02189833514294
Kupang,98.7989713799618
Kuching,98.10676268535579
Miri,99.32030919013818
Kota Kinabalu,99.46196080179863
Pelabuhan Sandakan,99.31466925783525
Ujungpandang,98.88380958183775
Nanjing,73.2976083828761
Hankow,71.25774668228662
Chang Sha,70.55734995668182
Dumaguete,99.38991808103115
Jiangmen,91.76538471133044
Wenzhou,96.34352599751527
Yantai,97.27885219521642
Zhuhai,95.10604156224552
Banjarmasin,96.65200564837836
Tanjung Pandan,98.962817759316
Kandla,82.89190546462358
Pondicherry,96.2076093086018
Trincomalee,97.57188060712136
Subic Bay,97.62722486185967
Beihai,96.43443016045043
Port Blair,99.46953119680938
Masbate,99.59109397923407
Ningbo,95.69431656130195
Xiamen,96.74299442801454
Senipah,96.61520492441271
Bhavnagar,82.88322863333713
Visakhapatnam,98.26586155263094
Colombo,98.97784268398347
Kaohsiung,97.15454282798615
Taichung,96.72223546456827
Da Nang,97.59582602117034
Haikou,97.38707635629346
Surabaya,99.26175905198092
Zamboanga,99.50745465614155
Chittagong,91.65748024509472
Dalian,97.80575727627573
Qingdao,96.42698233334151
Shanghai,94.61037829759695
Hong Kong,95.96475743252674
Surabaya,97.64631837323569
Phnom Penh,45.20455177236323
Male,99.87862859226065
Yangon,80.94511272195057
Singapore,98.55078912557002
Bangkok,91.02227321322118
Ho Chi Minh City,87.66140631881858
Fuzhou,96.06713370353314
Shantou,96.702800238945
Guangzhou,83.5810633756567
Tianjin,85.33912138962707
Karachi,93.72042878902143
Taipei,97.64846528117337
Manila,97.83929844936897
