port_name,mean
Yantian,2217.5884991972107
Kakinada,447.1677437968772
Tuticorin,388.2379866919589
Galle,525.3553415515122
Kemaman,63.71765663318543
Bangkok,954.8147697014396
Laem Chabang,1140.4428546824656
Sriracha,1123.2235545176507
Haimen,454.6096902597695
Qinhuangdao,244.93743722851445
Yingkou,295.46481122797655
Alleppey,826.2891451318998
Keelung,1179.489295642017
Mongla,682.2351940440232
Lianyungang,416.52029848495
Zhanjiang,596.5240219461531
Zhoushan,920.3426621385391
Lhokseumawe,103.58035022626797
Panjang,351.94672369457953
Tanjung Priok,2503.009306187636
Mangalore,308.3412081102412
Porbandar,216.40116562667683
Bassein,137.90636753838388
Malacca,245.4610189327055
Port Dickson,548.605835085417
Songkhla,164.1835714839303
Hai Phong,740.1901748683866
Guangzhou,2661.983147673035
Jiangyin,1047.7059036373062
Sanya,155.20314530505573
Nunukan,50.80061133651041
Ratnagiri,169.64754031389938
Gwadar,14.065217422162046
Bombay,1695.9802828444047
Jawaharlal Nehru Port,1521.24459300927
Cochin,806.7269013704421
Madras,1082.4846549266051
Calcutta,1543.9079440485095
Phuket,181.12384268899794
Pulau Pinang,278.195114345811
Belawan,381.5872155875424
Semarang,984.0081774004559
Kupang,198.43834797172153
Kuching,66.62769844435378
Miri,32.73227491409042
Kota Kinabalu,101.29083964824802
Pelabuhan Sandakan,48.747426646777534
Ujungpandang,391.38263365939224
Nanjing,597.8532107627606
Hankow,582.6033108523638
Chang Sha,475.9978467922935
Dumaguete,271.0563697260116
Jiangmen,1653.1371202998953
Wenzhou,675.8246355652789
Yantai,378.89312757366235
Zhuhai,2885.670849496198
Banjarmasin,108.1985381944732
Tanjung Pandan,57.89795168053698
Kandla,164.36048060530652
Pondicherry,602.5916880601898
Trincomalee,109.93662736287924
Subic Bay,1658.9639446656097
Beihai,310.5055520122136
Port Blair,85.11697983301625
Masbate,294.78917239635547
Ningbo,711.1457331081546
Xiamen,730.0126081318836
Senipah,179.3750814856756
Bhavnagar,477.05879279665936
Visakhapatnam,412.51541807764335
Colombo,705.1149816697265
Kaohsiung,407.9151985347898
Taichung,418.2959694115094
Da Nang,221.44037324253156
Haikou,371.61372314131967
Surabaya,573.9635555573774
Zamboanga,250.1318712181899
Chittagong,634.2030892816717
Dalian,649.6969842961632
Qingdao,572.2429579612894
Shanghai,2200.271142668647
Hong Kong,2862.404621767954
Surabaya,1084.2979785708421
Phnom Penh,259.66496287230416
Male,2900.2939631236973
Yangon,401.8299410867509
Singapore,636.0201575978311
Bangkok,981.3380528930188
Ho Chi Minh City,771.2238186665342
Fuzhou,412.8624373925284
Shantou,872.3506140493116
Guangzhou,1848.4460876835892
Tianjin,726.883175181183
Karachi,844.1912302256227
Taipei,964.477773035515
Manila,1503.7660040947017
