system:index,CO_area_mean_mol_per_m2,CO_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
00000000000000000000_0,0.03973940106989655,0.0409266521541231,2019-01-01,2018.0,Yantian,2018-12-05,7480.035011339636,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_1,0.04324134041107462,0.043867962104080144,2020-01-01,2019.0,Yantian,2019-01-01,7673.060772854882,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_2,0.04176562634365557,0.04195313287751026,2021-01-01,2020.0,Yantian,2020-01-01,7864.486176171288,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_3,0.04145706782115085,0.04201088110046845,2022-01-01,2020,Yantian,2021-01-01,7864.486176171288,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_4,0.03814480977093397,0.03874087129395034,2023-01-01,2020,Yantian,2022-01-01,7864.486176171288,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_5,0.041685455494058686,0.04111904928218437,2024-01-01,2020,Yantian,2023-01-01,7864.486176171288,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_6,0.04159795685376326,0.04159876348056965,2025-01-01,2020,Yantian,2024-01-01,7864.486176171288,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_7,0.03804796574371677,0.03841393413167517,2026-01-01,2020,Yantian,2025-01-01,7864.486176171288,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.04125546417188447,0.04251093863918956,2019-01-01,2018.0,Kakinada,2018-12-05,1578.5274185940611,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_1,0.0396586640235895,0.040296561716936165,2020-01-01,2019.0,Kakinada,2019-01-01,1588.470528637252,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_2,0.04024382888003785,0.04118891985019647,2021-01-01,2020.0,Kakinada,2020-01-01,1598.8973283448347,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_3,0.039432352779825736,0.04036015787172664,2022-01-01,2020,Kakinada,2021-01-01,1598.8973283448347,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_4,0.03914467272831039,0.039757083747653944,2023-01-01,2020,Kakinada,2022-01-01,1598.8973283448347,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_5,0.040133354130077944,0.0410113750364062,2024-01-01,2020,Kakinada,2023-01-01,1598.8973283448347,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_6,0.04119723104125746,0.041958725121237675,2025-01-01,2020,Kakinada,2024-01-01,1598.8973283448347,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_7,0.039505210648345855,0.040484565326842255,2026-01-01,2020,Kakinada,2025-01-01,1598.8973283448347,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.038025066738160834,0.03855952876843608,2019-01-01,2018.0,Tuticorin,2018-12-05,1236.8572877664194,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_1,0.03434684451665704,0.03442965347275664,2020-01-01,2019.0,Tuticorin,2019-01-01,1251.4697120916608,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_2,0.0345370774387184,0.03439496758618017,2021-01-01,2020.0,Tuticorin,2020-01-01,1263.7827424236375,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_3,0.03451735441189278,0.03384844320843587,2022-01-01,2020,Tuticorin,2021-01-01,1263.7827424236375,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_4,0.03266625590389499,0.032643271701707915,2023-01-01,2020,Tuticorin,2022-01-01,1263.7827424236375,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_5,0.0342744270986803,0.033927597076129426,2024-01-01,2020,Tuticorin,2023-01-01,1263.7827424236375,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_6,0.034408224915128474,0.03419291185982433,2025-01-01,2020,Tuticorin,2024-01-01,1263.7827424236375,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_7,0.033277676324559684,0.03274442843828478,2026-01-01,2020,Tuticorin,2025-01-01,1263.7827424236375,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,0.0340619282717716,0.035535332062318264,2019-01-01,2018.0,Galle,2018-12-05,1159.0436605608932,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_1,0.03152383598443424,0.03248195097198269,2020-01-01,2019.0,Galle,2019-01-01,1171.1350540640601,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_2,0.0314371320003435,0.03276475084653253,2021-01-01,2020.0,Galle,2020-01-01,1182.6080437064754,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_3,0.03000238620248481,0.03133809264458133,2022-01-01,2020,Galle,2021-01-01,1182.6080437064754,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_4,0.029032954864311334,0.030055125484641537,2023-01-01,2020,Galle,2022-01-01,1182.6080437064754,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_5,0.030737337289044316,0.031785980716282906,2024-01-01,2020,Galle,2023-01-01,1182.6080437064754,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_6,0.030963480342491426,0.0322374123876965,2025-01-01,2020,Galle,2024-01-01,1182.6080437064754,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_7,0.029487520889584642,0.030313178140070493,2026-01-01,2020,Galle,2025-01-01,1182.6080437064754,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,0.029688217907422595,0.03162678741797173,2019-01-01,2018.0,Kemaman,2018-12-05,181.84877179345415,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_1,0.03364690160809501,0.03429728236378278,2020-01-01,2019.0,Kemaman,2019-01-01,185.54898648795995,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_2,0.03132937493119179,0.031487755700105716,2021-01-01,2020.0,Kemaman,2020-01-01,189.27296859955644,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_3,0.030502337679901105,0.030719436483753894,2022-01-01,2020,Kemaman,2021-01-01,189.27296859955644,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_4,0.02935795623532871,0.02970543925470503,2023-01-01,2020,Kemaman,2022-01-01,189.27296859955644,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_5,0.03194241891609949,0.03284384163343986,2024-01-01,2020,Kemaman,2023-01-01,189.27296859955644,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_6,0.031178866590307868,0.03201333496251902,2025-01-01,2020,Kemaman,2024-01-01,189.27296859955644,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_7,0.029628055072752235,0.03034943937848077,2026-01-01,2020,Kemaman,2025-01-01,189.27296859955644,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.04348856172822479,0.045050979839343155,2019-01-01,2018.0,Bangkok,2018-12-05,4470.919311425059,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_1,0.03929959406793097,0.04004154309363153,2020-01-01,2019.0,Bangkok,2019-01-01,4638.114897896964,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_2,0.041362640387906366,0.0416152825394327,2021-01-01,2020.0,Bangkok,2020-01-01,4811.404388285264,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_3,0.03836660058647807,0.03909799272603547,2022-01-01,2020,Bangkok,2021-01-01,4811.404388285264,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_4,0.036100208915767894,0.03695136300394431,2023-01-01,2020,Bangkok,2022-01-01,4811.404388285264,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_5,0.04015107172838986,0.040850592882010685,2024-01-01,2020,Bangkok,2023-01-01,4811.404388285264,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_6,0.039784608914533344,0.04052638207387397,2025-01-01,2020,Bangkok,2024-01-01,4811.404388285264,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_7,0.03710598582681397,0.03815503278602079,2026-01-01,2020,Bangkok,2025-01-01,4811.404388285264,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,0.0421253170218426,0.04507366675182641,2019-01-01,2018.0,Laem Chabang,2018-12-05,3330.8086111109633,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_1,0.03823332940662599,0.039836954203976864,2020-01-01,2019.0,Laem Chabang,2019-01-01,3464.401439123704,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_2,0.0407115473089782,0.04142430570868122,2021-01-01,2020.0,Laem Chabang,2020-01-01,3602.788478947328,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_3,0.037422491861261176,0.03904152091478977,2022-01-01,2020,Laem Chabang,2021-01-01,3602.788478947328,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_4,0.03482737364383005,0.03688597090325544,2023-01-01,2020,Laem Chabang,2022-01-01,3602.788478947328,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_5,0.039122271462336884,0.04081429213786536,2024-01-01,2020,Laem Chabang,2023-01-01,3602.788478947328,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_6,0.038729855651869115,0.04041999952886209,2025-01-01,2020,Laem Chabang,2024-01-01,3602.788478947328,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_7,0.036079307670917826,0.03818483993204237,2026-01-01,2020,Laem Chabang,2025-01-01,3602.788478947328,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,0.04220191925470084,0.04507926098778385,2019-01-01,2018.0,Sriracha,2018-12-05,3743.7737034175607,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_1,0.03834896289321987,0.03988440822728991,2020-01-01,2019.0,Sriracha,2019-01-01,3897.16472538283,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_2,0.040715026652170846,0.04146368277233062,2021-01-01,2020.0,Sriracha,2020-01-01,4060.1005962321574,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_3,0.037607664952525245,0.039084726151789616,2022-01-01,2020,Sriracha,2021-01-01,4060.1005962321574,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_4,0.035064634668484126,0.036899681388185716,2023-01-01,2020,Sriracha,2022-01-01,4060.1005962321574,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_5,0.03927997095457895,0.040814927786667225,2024-01-01,2020,Sriracha,2023-01-01,4060.1005962321574,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_6,0.03886319596408175,0.04043539081610944,2025-01-01,2020,Sriracha,2024-01-01,4060.1005962321574,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_7,0.03627093992600328,0.038202868651207415,2026-01-01,2020,Sriracha,2025-01-01,4060.1005962321574,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0.04289471969860856,0.04355148076734906,2019-01-01,2018.0,Haimen,2018-12-05,1687.6045375417564,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_1,0.04162498855376493,0.04231561252923526,2020-01-01,2019.0,Haimen,2019-01-01,1710.6554260919177,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_2,0.042523306178178316,0.043229899963987746,2021-01-01,2020.0,Haimen,2020-01-01,1734.6450564032225,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_3,0.042087609510315524,0.04238061117185407,2022-01-01,2020,Haimen,2021-01-01,1734.6450564032225,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_4,0.03802347676792414,0.03833762000820436,2023-01-01,2020,Haimen,2022-01-01,1734.6450564032225,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_5,0.04049666692116053,0.04098654570798851,2024-01-01,2020,Haimen,2023-01-01,1734.6450564032225,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_6,0.04048512475929691,0.040795069055693516,2025-01-01,2020,Haimen,2024-01-01,1734.6450564032225,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_7,0.037072621513134105,0.0375527685309814,2026-01-01,2020,Haimen,2025-01-01,1734.6450564032225,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.04872528626829746,0.05543592702588371,2019-01-01,2018.0,Qinhuangdao,2018-12-05,1102.0130980775054,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_1,0.05321779013692747,0.05932098116001031,2020-01-01,2019.0,Qinhuangdao,2019-01-01,1109.1038262577622,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_2,0.05275970272278674,0.05796284032336412,2021-01-01,2020.0,Qinhuangdao,2020-01-01,1116.502733047394,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_3,0.05026358101752625,0.053476428708404654,2022-01-01,2020,Qinhuangdao,2021-01-01,1116.502733047394,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_4,0.04490220541046676,0.04747745139228615,2023-01-01,2020,Qinhuangdao,2022-01-01,1116.502733047394,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
