system:index,NO2_area_mean_mol_per_m2,NO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
00000000000000000000_0,1.1430022920300853E-4,1.8354483335382407E-4,2019-01-01,2018.0,Yantian,2018-12-05,7480.035011339636,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_1,8.315337736036811E-5,1.279552559584611E-4,2020-01-01,2019.0,Yantian,2019-01-01,7673.060772854882,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_2,7.066469129800331E-5,1.0866254694927007E-4,2021-01-01,2020.0,Yantian,2020-01-01,7864.486176171288,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_3,9.086106040686663E-5,1.4743659067815244E-4,2022-01-01,2020,Yantian,2021-01-01,7864.486176171288,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_4,7.935984840707879E-5,1.2535834651162183E-4,2023-01-01,2020,Yantian,2022-01-01,7864.486176171288,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_5,8.263083928309117E-5,1.2613970473914792E-4,2024-01-01,2020,Yantian,2023-01-01,7864.486176171288,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_6,8.009473037173858E-5,1.1904922163445222E-4,2025-01-01,2020,Yantian,2024-01-01,7864.486176171288,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_7,8.151483149398944E-5,1.2140903023814176E-4,2026-01-01,2020,Yantian,2025-01-01,7864.486176171288,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,2.7601124582909665E-5,3.239480167837296E-5,2019-01-01,2018.0,Kakinada,2018-12-05,1578.5274185940611,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_1,2.1770508928432386E-5,2.5053955331376214E-5,2020-01-01,2019.0,Kakinada,2019-01-01,1588.470528637252,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_2,1.9458319149307265E-5,2.2819234140647537E-5,2021-01-01,2020.0,Kakinada,2020-01-01,1598.8973283448347,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_3,2.199242381909059E-5,2.6050379142981506E-5,2022-01-01,2020,Kakinada,2021-01-01,1598.8973283448347,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_4,2.4303596231989224E-5,2.8487036818605683E-5,2023-01-01,2020,Kakinada,2022-01-01,1598.8973283448347,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_5,2.5521010975922874E-5,2.9369306378467667E-5,2024-01-01,2020,Kakinada,2023-01-01,1598.8973283448347,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_6,2.14316250803249E-5,2.458198294778921E-5,2025-01-01,2020,Kakinada,2024-01-01,1598.8973283448347,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_7,2.3259192741855115E-5,2.6446698282684273E-5,2026-01-01,2020,Kakinada,2025-01-01,1598.8973283448347,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,1.9242005804689482E-5,2.337015178233955E-5,2019-01-01,2018.0,Tuticorin,2018-12-05,1236.8572877664194,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_1,1.8787836369938836E-5,2.2536591783329824E-5,2020-01-01,2019.0,Tuticorin,2019-01-01,1251.4697120916608,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_2,1.7122162831744693E-5,1.9841194636734175E-5,2021-01-01,2020.0,Tuticorin,2020-01-01,1263.7827424236375,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_3,1.724332096760614E-5,1.9889862033294927E-5,2022-01-01,2020,Tuticorin,2021-01-01,1263.7827424236375,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
