system:index,SO2_area_mean_mol_per_m2,SO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
00000000000000000000_0,1.6602491028261116E-4,1.752830474581469E-4,2019-01-01,2018.0,Yantian,2018-12-05,7480.035011339636,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_1,2.290947063228134E-5,1.1658919638340009E-5,2020-01-01,2019.0,Yantian,2019-01-01,7673.060772854882,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_2,4.4912768618167796E-5,4.231982426966994E-5,2021-01-01,2020.0,Yantian,2020-01-01,7864.486176171288,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_3,6.226195073600158E-5,5.8085123229781634E-5,2022-01-01,2020,Yantian,2021-01-01,7864.486176171288,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_4,8.394550140746412E-5,8.03354675055125E-5,2023-01-01,2020,Yantian,2022-01-01,7864.486176171288,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_5,4.455505444803361E-5,4.268161931797262E-5,2024-01-01,2020,Yantian,2023-01-01,7864.486176171288,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_6,4.3448112599345526E-5,4.7040133356841104E-5,2025-01-01,2020,Yantian,2024-01-01,7864.486176171288,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_7,2.271903081449938E-5,2.3738474173966143E-5,2026-01-01,2020,Yantian,2025-01-01,7864.486176171288,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,2.0620790709663576E-4,2.278351887742013E-4,2019-01-01,2018.0,Kakinada,2018-12-05,1578.5274185940611,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_1,8.087052963043398E-5,8.062772312819109E-5,2020-01-01,2019.0,Kakinada,2019-01-01,1588.470528637252,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_2,7.009440756201175E-5,6.528832934574354E-5,2021-01-01,2020.0,Kakinada,2020-01-01,1598.8973283448347,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
