system:index,CO_area_mean_mol_per_m2,NO2_area_mean_mol_per_m2,SO2_area_mean_mol_per_m2,end_date,population_year_used,port_name,start_date,total_pollution_area_mean_mol_per_m2,total_pollution_population_weighted_exposure_mol_per_m2,total_population,year,.geo
00000000000000000000_0,0.03973940106989655,1.1430022920300853E-4,1.6602491028261116E-4,2019-01-01,2018.0,Yantian,2018-12-05,0.040019726209382184,0.04128548003493509,7480.035011339636,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_1,0.04324134041107462,8.315337736036811E-5,2.290947063228134E-5,2020-01-01,2019.0,Yantian,2019-01-01,0.043347403259067316,0.044007576279676976,7673.060772854882,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_2,0.04176562634365557,7.066469129800331E-5,4.4912768618167796E-5,2021-01-01,2020.0,Yantian,2020-01-01,0.04188120380357169,0.042104115248729215,7864.486176171288,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_3,0.04145706782115085,9.086106040686663E-5,6.226195073600158E-5,2022-01-01,2020,Yantian,2021-01-01,0.04161019083229375,0.04221640281437635,7864.486176171288,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_4,0.03814480977093397,7.935984840707879E-5,8.394550140746412E-5,2023-01-01,2020,Yantian,2022-01-01,0.03830811512074846,0.03894656510796745,7864.486176171288,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_5,0.041685455494058686,8.263083928309117E-5,4.455505444803361E-5,2024-01-01,2020,Yantian,2023-01-01,0.04181264138778984,0.04128787060624148,7864.486176171288,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_6,0.04159795685376326,8.009473037173858E-5,4.3448112599345526E-5,2025-01-01,2020,Yantian,2024-01-01,0.04172149969673432,0.04176485283556093,7864.486176171288,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_7,0.03804796574371677,8.151483149398944E-5,2.271903081449938E-5,2026-01-01,2020,Yantian,2025-01-01,0.03815219960602521,0.03855908163608729,7864.486176171288,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.04125546417188447,2.7601124582909665E-5,2.0620790709663576E-4,2019-01-01,2018.0,Kakinada,2018-12-05,0.04148920108814437,0.042771168629642205,1578.5274185940611,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_1,0.0396586640235895,2.1770508928432386E-5,8.087052963043398E-5,2020-01-01,2019.0,Kakinada,2019-01-01,0.03976130506214838,0.04040224339539575,1588.470528637252,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_2,0.04024382888003785,1.9458319149307265E-5,7.009440756201175E-5,2021-01-01,2020.0,Kakinada,2020-01-01,0.04033338160674921,0.04127702741368283,1598.8973283448347,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_3,0.039432352779825736,2.199242381909059E-5,1.0261722911755643E-4,2022-01-01,2020,Kakinada,2021-01-01,0.03955696243276241,0.04048193872106161,1598.8973283448347,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_4,0.03914467272831039,2.4303596231989224E-5,1.2506051171606294E-4,2023-01-01,2020,Kakinada,2022-01-01,0.039294036836258435,0.03990444762500812,1598.8973283448347,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_5,0.040133354130077944,2.5521010975922874E-5,1.4135799297066137E-4,2024-01-01,2020,Kakinada,2023-01-01,0.04030023313402454,0.041177135623063195,1598.8973283448347,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_6,0.04119723104125746,2.14316250803249E-5,6.880901762294826E-5,2025-01-01,2020,Kakinada,2024-01-01,0.0412874716839607,0.04205311249780964,1598.8973283448347,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_7,0.039505210648345855,2.3259192741855115E-5,7.19286375293288E-5,2026-01-01,2020,Kakinada,2025-01-01,0.03960039847861704,0.040588961616718176,1598.8973283448347,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.038025066738160834,1.9242005804689482E-5,6.20690911107328E-5,2019-01-01,2018.0,Tuticorin,2018-12-05,0.038106398134060394,0.038666031845190046,1236.8572877664194,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_1,0.03434684451665704,1.8787836369938836E-5,1.6402425215769452E-5,2020-01-01,2019.0,Tuticorin,2019-01-01,0.034382034778242664,0.03446635292169481,1251.4697120916608,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_2,0.0345370774387184,1.7122162831744693E-5,9.928356592587398E-6,2021-01-01,2020.0,Tuticorin,2020-01-01,0.034564127958142704,0.034417443860586885,1263.7827424236375,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_3,0.03451735441189278,1.724332096760614E-5,2.5706268398727618E-5,2022-01-01,2020,Tuticorin,2021-01-01,0.034560304001259146,0.03389277398198179,1263.7827424236375,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_4,0.03266625590389499,1.994051138471992E-5,2.8852242086112096E-5,2023-01-01,2020,Tuticorin,2022-01-01,0.03271504865736585,0.032691058465893146,1263.7827424236375,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_5,0.0342744270986803,1.97598477066966E-5,3.228652440022997E-5,2024-01-01,2020,Tuticorin,2023-01-01,0.034326473470787176,0.03398318945700052,1263.7827424236375,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_6,0.034408224915128474,1.922777619308372E-5,4.40986050192433E-5,2025-01-01,2020,Tuticorin,2024-01-01,0.03447155129634085,0.034255166220905055,1263.7827424236375,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_7,0.033277676324559684,1.9058881796703516E-5,1.72899255697514E-5,2026-01-01,2020,Tuticorin,2025-01-01,0.033314025131926155,0.03278507376410967,1263.7827424236375,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,0.0340619282717716,2.045295746189706E-5,1.426688173001959E-5,2019-01-01,2018.0,Galle,2018-12-05,0.03410382166199078,0.03550709653685118,1159.0436605608932,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_1,0.03152383598443424,1.550286644890228E-5,-2.234751626458652E-6,2020-01-01,2019.0,Galle,2019-01-01,0.03153710409925668,0.03248266279740559,1171.1350540640601,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_2,0.0314371320003435,1.4389064367707444E-5,1.2137818876890744E-6,2021-01-01,2020.0,Galle,2020-01-01,0.03145273484659886,0.03277643793868181,1182.6080437064754,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_3,0.03000238620248481,1.411702998922986E-5,-6.854406478479756E-6,2022-01-01,2020,Galle,2021-01-01,0.030009648825995484,0.0313388590048363,1182.6080437064754,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_4,0.029032954864311334,1.4602766345255846E-5,1.1527418964694189E-5,2023-01-01,2020,Galle,2022-01-01,0.029059085049621305,0.03007588118149348,1182.6080437064754,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_5,0.030737337289044316,1.3390159717003267E-5,2.2692110902426762E-6,2024-01-01,2020,Galle,2023-01-01,0.030752996659851577,0.031793018962237386,1182.6080437064754,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_6,0.030963480342491426,1.3274648337878274E-5,3.169664056178396E-5,2025-01-01,2020,Galle,2024-01-01,0.031008451631391105,0.032278006133150135,1182.6080437064754,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_7,0.029487520889584642,1.2264279787669693E-5,5.0981362082266215E-6,2026-01-01,2020,Galle,2025-01-01,0.02950488330558052,0.030333583461980514,1182.6080437064754,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,0.029688217907422595,1.0450867101522015E-5,-2.7399496702149408E-5,2019-01-01,2018.0,Kemaman,2018-12-05,0.029671215681047452,0.03161430202951841,181.84877179345415,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_1,0.03364690160809501,1.2648228244293255E-5,-1.0463121555671497E-5,2020-01-01,2019.0,Kemaman,2019-01-01,0.03364908671478364,0.03430085381367961,185.54898648795995,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_2,0.03132937493119179,1.0904407984049472E-5,-1.8947927108035345E-5,2021-01-01,2020.0,Kemaman,2020-01-01,0.03132133141206782,0.031478549853308196,189.27296859955644,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_3,0.030502337679901105,1.2548066019781023E-5,-9.503835647176143E-6,2022-01-01,2020,Kemaman,2021-01-01,0.030505381910273736,0.030729409572560085,189.27296859955644,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_4,0.02935795623532871,1.2361500270941413E-5,-3.3263411752118333E-7,2023-01-01,2020,Kemaman,2022-01-01,0.029369985101482112,0.029727415062646003,189.27296859955644,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_5,0.03194241891609949,1.4595049423070906E-5,-8.448421833869799E-7,2024-01-01,2020,Kemaman,2023-01-01,0.031956169123339116,0.03286161466538262,189.27296859955644,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_6,0.031178866590307868,1.2964206359014134E-5,9.93994615643788E-5,2025-01-01,2020,Kemaman,2024-01-01,0.031291230258231266,0.03217370943899916,189.27296859955644,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_7,0.029628055072752235,1.3333947069823362E-5,1.2488194669368126E-5,2026-01-01,2020,Kemaman,2025-01-01,0.02965387721449147,0.030386162195178815,189.27296859955644,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.04348856172822479,6.516759503989645E-5,4.63710081073583E-5,2019-01-01,2018.0,Bangkok,2018-12-05,0.043600051700620014,0.04521809914538611,4470.919311425059,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_1,0.03929959406793097,4.718309046578389E-5,-1.3796341941821136E-5,2020-01-01,2019.0,Bangkok,2019-01-01,0.039332980816454845,0.04010011461897068,4638.114897896964,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_2,0.041362640387906366,4.343887187264972E-5,4.031344918060506E-6,2021-01-01,2020.0,Bangkok,2020-01-01,0.04141011060469703,0.041698638280042645,4811.404388285264,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_3,0.03836660058647807,4.899962285691265E-5,1.739974018669897E-5,2022-01-01,2020,Bangkok,2021-01-01,0.038432999949521665,0.039203011495027584,4811.404388285264,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_4,0.036100208915767894,4.871219859435245E-5,1.4066975395011519E-5,2023-01-01,2020,Bangkok,2022-01-01,0.03616298808975723,0.03705617055460661,4811.404388285264,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_5,0.04015107172838986,5.0715914478463316E-5,2.200006206481196E-5,2024-01-01,2020,Bangkok,2023-01-01,0.040223787704933206,0.04096608950475654,4811.404388285264,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_6,0.039784608914533344,4.6760660880039854E-5,9.90662581022655E-6,2025-01-01,2020,Bangkok,2024-01-01,0.03984127620122367,0.0406152839958173,4811.404388285264,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_7,0.03710598582681397,5.033201771829572E-5,2.9579416684778464E-5,2026-01-01,2020,Bangkok,2025-01-01,0.03718589726121706,0.038280474856321516,4811.404388285264,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
